,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
3,52,XRP,XRP,xrp,1709,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59777241479.0,99985800180.0,False,,4,,,,2025-09-25T22:55:00.000Z,2.751937963381314,9182749011.608553,49.8709,-0.14125831,-6.51216286,-10.50897637,-8.64135443,-15.15471425,28.28693596,164503260172.27228,4.4027,275193796338.13,,2025-09-25T22:55:00.000Z,,,,,,2025-09-25 17:57:29.014531
4,1839,BNB,BNB,bnb,2760,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,139185906.75,139185906.75,False,,5,,,,2025-09-25T22:55:00.000Z,948.4331111822618,4549107740.816875,26.4322,-0.53435662,-6.78890207,-3.65662637,9.71355051,12.87996131,46.60560648,132008522571.62666,3.533,132008522571.63,,2025-09-25T22:55:00.000Z,,,,,,2025-09-25 17:57:29.014531
5,5426,Solana,SOL,solana,1005,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,543389445.8665589,610458841.368239,True,,6,525236893.3,102059445489.72807,,2025-09-25T22:55:00.000Z,194.31126562435645,11907828889.179445,42.552,-1.0969619,-8.13457543,-21.42194365,-1.01227881,2.67967034,36.04751895,105586690953.2488,2.8259,118619030077.84,,2025-09-25T22:55:00.000Z,,,,,,2025-09-25 17:57:29.014531
6,3408,USDC,USDC,usd-coin,32120,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'xlayer-ecosystem']",,73990173814.15991,73990173814.15991,False,,7,60901219650.23,60883341710.88215,,2025-09-25T22:55:00.000Z,0.9997064436566208,26744826350.062664,74.5893,-0.02496577,0.00192385,0.01362118,-0.01896309,-0.02670454,-0.01960037,73968453529.28903,1.9792,73968453529.29,,2025-09-25T22:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-09-25 17:57:29.014531
7,74,Dogecoin,DOGE,dogecoin,1312,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,151093436383.70523,151093436383.70523,True,,8,,,,2025-09-25T22:55:00.000Z,0.2235860265155308,4414533983.151926,29.145,-0.53920183,-7.36754715,-19.65249392,2.17237274,-7.81440795,38.4990658,33782381073.609783,0.9041,33782381073.61,,2025-09-25T22:55:00.000Z,,,,,,2025-09-25 17:57:29.014531
8,1958,TRON,TRX,tron,1235,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94665742241.61401,94665736173.14171,True,,9,94667886298.43,31535663247.087933,,2025-09-25T22:55:00.000Z,0.33311891159875756,1013756544.8495859,58.767,-0.19550119,-1.57180987,-5.06690253,-5.37619955,4.02293215,21.96273515,31534949021.21499,0.844,31534946999.69,,2025-09-25T22:55:00.000Z,,,,,,2025-09-25 17:57:29.014531
9,2010,Cardano,ADA,cardano,1587,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35800453490.387695,44994687582.639366,False,,10,37997904336.0,29142200361.60518,,2025-09-25T22:56:00.000Z,0.7669423056575059,1877908275.5333934,75.8583,-0.21655513,-5.86344588,-16.98690823,-11.59597053,-8.18783745,36.88650119,27456882343.502243,0.7348,34512403754.59,,2025-09-25T22:56:00.000Z,,,,,,2025-09-25 17:57:29.014531
10,29470,Ethena USDe,USDe,ethena-usde,219,2024-02-20T11:05:01.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-labs-portfolio', 'dragonfly-capital-portfolio', 'usd-stablecoin', 'eigenlayer-ecosystem', 'binance-ecosystem', 'binance-listing', 'xlayer-ecosystem']",,14350905859.287287,14350905859.287287,True,,11,,,,2025-09-25T22:56:00.000Z,0.9995694823190451,1445849492.1930296,48.6254,-0.00469339,-0.1349393,-0.15292296,-0.14482355,-0.1663669,-0.06940431,14344727540.577145,0.3838,14344727540.58,,2025-09-25T22:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,2025-09-25 17:57:29.014531
11,32196,Hyperliquid,HYPE,hyperliquid,160,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing']",1000000000.0,336685219.0,999584316.0,False,,12,333931719.0,13658801981.238014,,2025-09-25T22:56:00.000Z,40.90297867522436,767686481.7011449,38.6046,-1.88267785,-11.06467874,-29.71007684,-16.27331905,-6.75051664,12.02510819,13771428333.020245,0.3686,40902978675.22,,2025-09-25T22:56:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-09-25 17:57:29.014531
12,1975,Chainlink,LINK,chainlink,2099,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'interoperability', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'defi-2', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets-protocols', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'energi-ecosystem', 'x-layer-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'wlfi-ecosystem']",1000000000.0,678099970.4527867,1000000000.0,False,,13,,,,2025-09-25T22:56:00.000Z,20.245300122453454,1187775530.038469,45.7031,-0.68631348,-6.50877569,-17.96209158,-17.67017097,5.23516792,55.07551062,13728337414.843485,0.3673,20245300122.45,,2025-09-25T22:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-09-25 17:57:29.014531
13,5805,Avalanche,AVAX,avalanche,975,2020-07-13T00:00:00.000Z,"['smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets-protocols', 'layer-1', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",715748719.0,422275285.48916084,457277985.48916084,False,,14,,,,2025-09-25T22:56:00.000Z,29.06413988578032,1703147779.7618363,19.8247,0.0531096,-10.21813779,-16.56263741,20.12111928,11.21848882,65.1373896,12273067967.764791,0.3284,20802620892.08,,2025-09-25T22:56:00.000Z,,,,,,2025-09-25 17:57:29.014531
14,512,Stellar,XLM,stellar,757,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets-protocols', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",50001806812.0,31894732435.94246,50001786886.69551,False,,15,31531408660.0,11095834602.502287,,2025-09-25T22:55:00.000Z,0.3518978400916861,321617620.03693265,38.8108,-0.17849937,-6.21516089,-11.66590719,-10.98523386,-21.10051636,48.29039544,11223687454.510393,0.3004,17595527817.82,,2025-09-25T22:55:00.000Z,,,,,,2025-09-25 17:57:29.014531
